iter	Passed	Remaining
172	309	1477
173	311	1478
174	313	1478
175	315	1478
176	317	1477
177	319	1475
178	321	1472
179	323	1474
180	325	1474
181	327	1471
182	329	1469
183	330	1467
184	332	1464
185	334	1461
186	335	1459
187	337	1456
188	338	1454
189	340	1451
190	342	1450
191	344	1447
192	345	1445
193	347	1442
194	348	1440
195	350	1437
196	352	1435
197	353	1432
198	355	1430
199	356	1427
200	358	1425
201	360	1423
202	361	1420
203	363	1418
204	365	1416
205	366	1413
206	368	1411
207	370	1409
208	371	1406
209	373	1404
210	374	1401
211	376	1399
212	378	1397
213	379	1394
214	381	1392
215	382	1390
216	384	1387
217	386	1385
218	387	1383
219	389	1380
220	391	1378
221	393	1379
222	395	1379
223	397	1377
224	399	1374
225	400	1372
226	402	1370
227	404	1368
228	405	1366
229	407	1364
230	409	1362
231	410	1359
232	412	1357
233	413	1355
234	415	1352
235	417	1350
236	418	1348
237	420	1346
238	422	1343
239	424	1343
240	425	1340
241	427	1338
242	429	1336
243	431	1335
244	432	1333
245	434	1331
246	436	1329
247	437	1327
248	439	1325
249	441	1325
250	443	1324
251	445	1322
252	447	1322
253	449	1321
254	451	1320
255	454	1319
256	455	1318
257	457	1316
258	459	1314
259	461	1312
260	463	1311
261	464	1309
262	466	1308
263	469	1308
264	471	1306
265	472	1304
266	474	1302
267	475	1299
268	477	1298
269	479	1295
270	480	1293
271	482	1291
272	484	1289
273	485	1287
274	488	1286
275	490	1286
276	492	1284
277	493	1282
278	495	1280
279	497	1278
280	499	1277
281	500	1275
282	502	1273
283	504	1271
284	505	1269
285	507	1267
286	509	1265
287	511	1263
288	512	1261
289	514	1259
290	516	1257
291	517	1255
292	519	1253
293	521	1251
294	522	1249
295	524	1247
296	526	1245
297	527	1243
298	529	1241
299	531	1239
300	533	1237
301	534	1235
302	536	1233
303	538	1231
304	539	1229
305	541	1227
306	543	1226
307	544	1224
308	546	1222
309	548	1220
310	550	1218
311	551	1216
312	553	1214
313	555	1212
314	556	1210
315	558	1209
316	560	1207
317	561	1204
318	565	1206
319	566	1204
320	568	1202
321	570	1200
322	571	1198
323	573	1196
324	575	1194
325	577	1192
326	578	1191
327	580	1189
328	582	1187
329	583	1185
330	585	1183
331	587	1181
332	588	1179
333	590	1177
334	592	1176
335	594	1174
336	596	1172
337	597	1170
338	599	1168
339	601	1166
340	602	1165
341	604	1163
342	606	1161
343	607	1159
344	609	1157
345	611	1155
346	612	1153
347	614	1151
348	616	1149
349	617	1147
350	619	1145
351	621	1143
352	622	1141
353	624	1139
354	626	1137
355	629	1138
356	631	1137
357	635	1138
358	637	1138
359	640	1139
360	643	1138
361	645	1136
362	647	1135
363	649	1135
364	651	1134
365	654	1132
366	656	1131
367	658	1130
368	660	1129
369	662	1127
370	663	1125
371	665	1124
372	667	1122
373	669	1120
374	671	1118
375	672	1116
376	674	1114
377	676	1113
378	678	1111
379	680	1110
380	682	1109
381	684	1107
382	686	1106
383	688	1104
384	690	1102
385	691	1100
386	693	1098
387	695	1096
388	696	1094
389	698	1092
390	700	1090
391	702	1088
392	703	1087
393	705	1085
394	707	1083
395	708	1081
396	710	1079
397	712	1077
398	714	1075
399	716	1074
400	717	1072
401	719	1070
402	721	1068
403	722	1066
404	724	1064
405	726	1062
406	727	1060
407	729	1058
408	731	1056
409	733	1055
410	735	1053
411	737	1052
412	738	1050
413	740	1048
414	742	1046
415	744	1044
416	745	1042
417	747	1040
418	749	1038
419	750	1037
420	753	1035
421	755	1034
422	756	1032
423	758	1030
424	760	1028
425	762	1026
426	763	1024
427	765	1022
428	767	1020
429	768	1019
430	770	1017
431	772	1015
432	773	1013
433	775	1011
434	777	1009
435	779	1007
436	780	1005
437	782	1004
438	784	1002
439	786	1000
440	787	998
441	789	996
442	791	995
443	793	993
444	794	991
445	796	989
446	798	987
447	799	985
448	801	983
449	803	981
450	804	979
451	806	977
452	808	975
453	809	973
454	811	972
455	813	970
456	814	968
457	816	966
458	818	964
459	820	962
460	821	960
461	823	958
462	825	957
463	826	955
464	828	953
465	830	951
466	832	949
467	833	947
468	835	945
469	837	944
470	838	942
471	841	941
472	843	940
473	845	938
474	847	936
475	848	934
476	850	932
477	852	930
478	854	928
479	855	927
480	857	925
481	859	923
482	861	921
483	862	919
484	864	917
485	866	915
486	867	914
487	869	912
488	871	910
489	872	908
490	874	906
491	876	904
492	878	902
493	879	901
494	881	899
495	883	897
496	884	895
497	886	893
498	888	892
499	890	890
500	891	888
501	893	886
502	895	884
503	896	882
504	898	880
505	900	879
506	902	877
507	904	875
508	905	873
509	907	871
510	909	870
511	911	868
512	912	866
513	914	864
514	916	862
515	918	861
516	919	859
517	921	857
518	923	855
519	924	853
520	926	851
521	928	849
522	929	848
523	931	846
524	933	844
525	935	842
526	936	840
527	938	838
528	940	837
529	941	835
530	943	833
531	945	831
532	946	829
533	948	827
534	950	826
535	952	824
536	953	822
537	955	820
538	957	818
539	958	816
540	960	814
541	962	813
542	964	811
543	965	809
544	967	807
545	969	805
546	970	804
547	972	802
548	974	800
549	975	798
550	977	796
551	979	794
552	981	793
553	982	791
554	984	789
555	986	787
556	990	787
557	991	785
558	993	783
559	995	782
560	997	780
561	998	778
562	1000	776
563	1002	774
564	1003	772
565	1005	771
566	1007	769
567	1008	767
568	1010	765
569	1012	763
570	1014	761
571	1015	760
572	1017	758
573	1019	756
574	1020	754
575	1022	752
576	1024	750
577	1025	749
578	1027	747
579	1030	746
580	1032	744
581	1034	742
582	1036	741
583	1037	739
584	1039	737
585	1041	735
586	1043	733
587	1044	732
588	1046	730
589	1048	728
590	1049	726
591	1051	724
592	1053	722
593	1054	721
594	1056	719
595	1058	717
596	1060	716
597	1062	714
598	1064	712
599	1065	710
600	1067	708
601	1069	706
602	1070	705
603	1072	703
604	1074	701
605	1076	699
606	1077	697
607	1079	695
608	1081	694
609	1082	692
610	1084	690
611	1086	688
612	1087	686
613	1089	684
614	1091	683
615	1092	681
616	1094	679
617	1096	677
618	1098	675
619	1101	675
620	1103	673
621	1105	672
622	1108	670
623	1110	668
624	1111	667
625	1113	665
626	1115	663
627	1117	661
628	1119	660
629	1120	658
630	1122	656
631	1124	654
632	1126	653
633	1128	651
634	1129	649
635	1131	647
636	1133	645
637	1134	643
638	1136	642
639	1138	640
640	1139	638
641	1141	636
642	1143	634
643	1144	632
644	1146	630
645	1148	629
646	1149	627
647	1151	625
648	1153	623
649	1154	621
650	1156	619
651	1158	618
652	1159	616
653	1161	614
654	1163	612
655	1164	610
656	1166	608
657	1168	607
658	1169	605
659	1171	603
660	1173	601
661	1174	599
662	1176	598
663	1178	596
664	1179	594
665	1181	592
666	1183	590
667	1184	588
668	1186	586
669	1188	585
670	1189	583
671	1191	581
672	1193	579
673	1194	577
674	1196	576
675	1198	574
676	1199	572
677	1201	570
678	1203	568
679	1204	566
680	1206	565
681	1208	563
682	1209	561
683	1211	559
684	1212	557
685	1214	556
686	1216	554
687	1218	552
688	1219	550
689	1221	548
690	1225	547
691	1226	546
692	1228	544
693	1230	542
694	1232	540
695	1234	539
696	1235	537
697	1237	535
698	1239	533
699	1240	531
700	1242	529
701	1244	528
702	1245	526
703	1247	524
704	1249	522
705	1250	520
706	1252	519
707	1254	517
708	1255	515
709	1257	513
710	1259	511
711	1261	510
712	1263	508
713	1264	506
714	1266	504
715	1268	503
716	1269	501
717	1271	499
718	1273	497
719	1274	495
720	1276	494
721	1278	492
722	1280	490
723	1281	488
724	1283	486
725	1285	485
726	1286	483
727	1288	481
728	1290	479
729	1292	477
730	1293	476
731	1295	474
732	1297	472
733	1298	470
734	1300	468
735	1302	467
736	1303	465
737	1305	463
738	1307	461
739	1309	459
740	1310	458
741	1312	456
742	1314	454
743	1315	452
744	1317	450
745	1319	449
746	1321	447
747	1322	445
748	1324	443
749	1326	442
750	1327	440
751	1329	438
752	1331	436
753	1333	434
754	1335	433
755	1336	431
756	1338	429
757	1340	427
758	1341	426
759	1343	424
760	1345	422
761	1347	420
762	1348	418
763	1350	417
764	1352	415
765	1353	413
766	1355	411
767	1357	409
768	1358	408
769	1360	406
770	1362	404
771	1363	402
772	1365	401
773	1367	399
774	1369	397
775	1370	395
776	1372	393
777	1374	392
778	1375	390
779	1377	388
780	1379	386
781	1381	385
782	1382	383
783	1384	381
784	1386	379
785	1387	377
786	1389	376
787	1391	374
788	1392	372
789	1394	370
790	1396	368
791	1398	367
792	1400	365
793	1401	363
794	1403	361
795	1405	360
796	1407	358
797	1408	356
798	1410	354
799	1412	353
800	1413	351
801	1415	349
802	1417	347
803	1418	345
804	1420	344
805	1422	342
806	1423	340
807	1425	338
808	1427	337
809	1429	335
810	1431	333
811	1432	331
812	1434	329
813	1436	328
814	1437	326
815	1439	324
816	1441	322
817	1442	321
818	1444	319
819	1446	317
820	1448	315
821	1449	313
822	1451	312
823	1452	310
824	1454	308
825	1456	306
826	1458	305
827	1461	303
828	1463	301
829	1464	300
830	1466	298
831	1468	296
832	1470	294
833	1472	293
834	1474	291
835	1476	289
836	1477	287
837	1479	286
838	1481	284
839	1482	282
840	1484	280
841	1486	278
842	1487	277
843	1489	275
844	1491	273
845	1493	271
846	1494	270
847	1497	268
848	1499	266
849	1501	264
850	1503	263
851	1504	261
852	1506	259
853	1508	257
854	1509	256
855	1512	254
856	1513	252
857	1515	250
858	1517	249
859	1519	247
860	1520	245
861	1522	243
862	1524	241
863	1526	240
864	1527	238
865	1529	236
866	1531	234
867	1533	233
868	1534	231
869	1536	229
870	1538	227
871	1539	226
872	1541	224
873	1543	222
874	1545	220
875	1546	218
876	1548	217
877	1550	215
878	1552	213
879	1553	211
880	1555	210
881	1557	208
882	1558	206
883	1560	204
884	1562	203
885	1563	201
886	1565	199
887	1568	197
888	1570	196
889	1572	194
890	1574	192
891	1577	190
892	1579	189
893	1581	187
894	1583	185
895	1586	184
896	1588	182
897	1590	180
898	1591	178
899	1593	177
900	1595	175
901	1597	173
902	1600	171
903	1602	170
904	1604	168
905	1606	166
906	1607	164
907	1609	163
908	1611	161
909	1612	159
910	1615	157
911	1617	156
912	1619	154
913	1621	152
914	1623	150
915	1624	148
916	1626	147
917	1627	145
918	1629	143
919	1631	141
920	1632	140
921	1634	138
922	1636	136
923	1638	134
924	1640	132
925	1641	131
926	1643	129
927	1645	127
928	1646	125
929	1648	124
930	1650	122
931	1651	120
932	1653	118
933	1655	116
934	1656	115
935	1658	113
936	1660	111
937	1661	109
938	1663	108
939	1665	106
940	1666	104
941	1668	102
942	1670	100
943	1672	99
944	1673	97
945	1675	95
946	1677	93
947	1679	92
948	1680	90
949	1682	88
950	1684	86
951	1685	85
952	1689	83
953	1691	81
954	1692	79
955	1694	77
956	1696	76
957	1697	74
958	1699	72
959	1701	70
960	1702	69
961	1704	67
962	1706	65
963	1708	63
964	1709	62
965	1711	60
966	1713	58
967	1714	56
968	1716	54
969	1718	53
970	1719	51
971	1721	49
972	1723	47
973	1724	46
974	1726	44
975	1728	42
976	1729	40
977	1731	38
978	1733	37
979	1734	35
980	1736	33
981	1738	31
982	1739	30
983	1741	28
984	1743	26
985	1745	24
986	1746	23
987	1748	21
988	1750	19
989	1751	17
990	1753	15
991	1755	14
992	1757	12
993	1758	10
994	1760	8
995	1762	7
996	1763	5
997	1765	3
998	1767	1
999	1768	0
