iter	RMSE
0	0.3888274023
1	0.3768487893
2	0.3656888188
3	0.354800348
4	0.3447563105
5	0.3341738094
6	0.3240068838
7	0.3166179889
8	0.3079017856
9	0.3002095313
10	0.293001218
11	0.2863715633
12	0.279418303
13	0.272204677
14	0.2657993755
15	0.2600455843
16	0.2546323107
17	0.2494188769
18	0.2441469291
19	0.2387996672
20	0.2337906535
21	0.2293915831
22	0.2245592942
23	0.2207366652
24	0.2167613552
25	0.2128770379
26	0.2091591815
27	0.205508563
28	0.2023068198
29	0.1992645683
30	0.1965010506
31	0.1934205854
32	0.1907070998
33	0.1880939914
34	0.185654592
35	0.1831890185
36	0.1811497024
37	0.1790974591
38	0.1768371159
39	0.1748961025
40	0.1731317892
41	0.1716076446
42	0.1698295663
43	0.1679803913
44	0.1665360564
45	0.1647683423
46	0.1634578644
47	0.162075156
48	0.1606603354
49	0.1592834295
50	0.1582422225
51	0.1570815142
52	0.1558713613
53	0.154862089
54	0.1538432744
55	0.1529062244
56	0.1518554347
57	0.1512091693
58	0.1503729268
59	0.1493165413
60	0.1483871546
61	0.1475604554
62	0.1468155815
63	0.145947345
64	0.1452731015
65	0.1447346189
66	0.143956048
67	0.1433206852
68	0.1426424153
69	0.141927149
70	0.14131068
71	0.1405741257
72	0.1399448038
73	0.1393903129
74	0.138941121
75	0.138466411
76	0.1378895719
77	0.1374327023
78	0.1368898322
79	0.1362979512
80	0.135688933
81	0.1351265162
82	0.1345901552
83	0.1340992647
84	0.1335771469
85	0.1332088458
86	0.1327480271
87	0.132406525
88	0.1318795777
89	0.1314411014
90	0.1310827106
91	0.1307039464
92	0.1302338383
93	0.129672992
94	0.129451033
95	0.1291232214
96	0.1287302031
97	0.128186757
98	0.127775936
99	0.1272933902
100	0.1269650919
101	0.126575404
102	0.126294089
103	0.1259569593
104	0.1257113729
105	0.1253636938
106	0.1250268184
107	0.1247486631
108	0.1244652803
109	0.1242193346
110	0.1239660471
111	0.1235749337
112	0.1233240244
113	0.1228949797
114	0.1225922858
115	0.1221966931
116	0.1218452257
117	0.1216150849
118	0.1212009113
119	0.120926631
120	0.120661966
121	0.1203530685
122	0.120114641
123	0.1198696494
124	0.119677036
125	0.1192756304
126	0.1190769622
127	0.1188411832
128	0.1185553214
129	0.1183749234
130	0.1181738197
131	0.1180128835
132	0.1177488139
133	0.1175558628
134	0.1173205627
135	0.1170305387
136	0.1168299827
137	0.1165370869
138	0.1162423016
139	0.1159862877
140	0.1157009434
141	0.1156567824
142	0.1154368436
143	0.1152545377
144	0.1150774692
145	0.1148081296
146	0.11457501
147	0.1143213109
148	0.1142797568
149	0.1140120255
150	0.1137936047
151	0.1135402161
152	0.1133243274
153	0.1130790284
154	0.1128935751
155	0.1127637954
156	0.1124726229
157	0.1122416143
158	0.1121868519
159	0.1118817965
160	0.1117385664
161	0.1115691041
162	0.1113767059
163	0.111201293
164	0.111014024
165	0.1107991662
166	0.1105096593
167	0.1102869184
168	0.1101208442
169	0.1100422926
170	0.1100033578
171	0.109965214
172	0.1098386671
173	0.1096141611
174	0.109550397
175	0.1093944009
176	0.1091040428
177	0.1088708536
178	0.1087028637
179	0.1084812818
180	0.1082259009
181	0.1080867211
182	0.107846223
183	0.1078050375
184	0.1075952306
185	0.1074610049
186	0.1072806546
187	0.1072431123
188	0.1070528305
189	0.1068595801
190	0.1066632942
191	0.1065251952
192	0.1063636193
193	0.1061798474
194	0.1061253854
195	0.1059532243
196	0.1058436435
197	0.1058023886
198	0.1056210432
199	0.1054146148
200	0.1052451399
201	0.1050713974
202	0.1048911884
203	0.1046783636
204	0.1046389399
205	0.1046006784
206	0.1044337819
207	0.1042316689
208	0.1041961895
209	0.1041629008
210	0.1039793779
211	0.1039301485
212	0.1037669386
213	0.1037343612
214	0.1035926434
215	0.1034437941
216	0.1032735202
217	0.1030955404
218	0.1029140494
219	0.1028832265
220	0.1026914503
221	0.1025353927
222	0.1023731618
223	0.1023456309
224	0.1022094438
225	0.102025415
226	0.1019970219
227	0.1018480905
228	0.1017162934
229	0.1015675265
230	0.1014154751
231	0.1013861251
232	0.1013589225
233	0.1012090151
234	0.1011813898
235	0.101032445
236	0.1008997721
237	0.1008755301
238	0.1007337273
239	0.1006032097
240	0.1004411773
241	0.1004156897
242	0.1002780656
243	0.1001578256
244	0.1000418413
245	0.09991100775
246	0.09975063318
247	0.09962653729
248	0.09960335231
249	0.0994473659
250	0.09936222307
251	0.09922885693
252	0.09907566674
253	0.09893360545
254	0.09886747399
255	0.09879548171
256	0.09877176649
257	0.0986768657
258	0.09856194873
259	0.0984384499
260	0.09833612149
261	0.09818179904
262	0.0980268411
263	0.09791830512
264	0.09769411155
265	0.09761927655
266	0.0975009654
267	0.09740060521
268	0.0972983253
269	0.09719628277
270	0.0970967083
271	0.09701383783
272	0.09688199148
273	0.09675577277
274	0.09673619054
275	0.09665231733
276	0.09657865003
277	0.0964883535
278	0.0963967206
279	0.09632016745
280	0.09618491514
281	0.09609518363
282	0.09596891024
283	0.09594791524
284	0.09582787215
285	0.09569229927
286	0.09556842764
287	0.09542699882
288	0.09536331712
289	0.09524576705
290	0.09513819587
291	0.0951156501
292	0.09500556865
293	0.09488296862
294	0.09480108192
295	0.09460609981
296	0.09454108407
297	0.09445844228
298	0.09434788594
299	0.09422332891
300	0.09412598014
301	0.09406430708
302	0.09397634425
303	0.09396056477
304	0.09386082812
305	0.09368123909
306	0.09359571179
307	0.09347394126
308	0.09336278503
309	0.09324808874
310	0.09312804986
311	0.09301363266
312	0.09287391071
313	0.09281579305
314	0.0927179932
315	0.09258862777
316	0.09256045834
317	0.09248450624
318	0.09241304369
319	0.09235295097
320	0.09229747943
321	0.09225160235
322	0.09220161671
323	0.0920852375
324	0.09198870498
325	0.09194099376
326	0.0918316055
327	0.09173491694
328	0.09171945729
329	0.0916143281
330	0.09152201574
331	0.09141792967
332	0.09131519336
333	0.09118836455
334	0.09113078398
335	0.09107931343
336	0.09095638083
337	0.09085623056
338	0.09079310971
339	0.09069938823
340	0.09061278982
341	0.09050653636
342	0.09041948005
343	0.0903556731
344	0.09024885524
345	0.09019926684
346	0.09010584433
347	0.08997715102
348	0.08991639082
349	0.08983556719
350	0.08978608429
351	0.08972550109
352	0.08970090998
353	0.08960301403
354	0.08956884923
355	0.08949928874
356	0.08940047085
357	0.08933523266
358	0.08923711104
359	0.08919123986
360	0.08908011978
361	0.0890011168
362	0.08889075822
363	0.08877999078
364	0.08876262461
365	0.08873291717
366	0.08865254367
367	0.08856155339
368	0.08852009134
369	0.08846815694
370	0.08839375793
371	0.08831452648
372	0.08827580961
373	0.08822506425
374	0.08818861544
375	0.08812915525
376	0.08807837541
377	0.08799744415
378	0.08791393157
379	0.0878567246
380	0.08778106618
381	0.08769677152
382	0.08759690848
383	0.08751900662
384	0.08741652546
385	0.08732099248
386	0.08719835062
387	0.08709131866
388	0.08705577507
389	0.08693376015
390	0.08686632879
391	0.08680089607
392	0.08671802657
393	0.08670057851
394	0.08661918481
395	0.08653675529
396	0.08646069122
397	0.08639109786
398	0.08629747409
399	0.08616422753
400	0.08609406933
401	0.08601746584
402	0.08590468133
403	0.0858322166
404	0.08574636198
405	0.08570409026
406	0.08563328292
407	0.0855881924
408	0.08552996472
409	0.08545807297
410	0.08537871827
411	0.08535627252
412	0.08529242988
413	0.08516240924
414	0.08508921277
415	0.08502318341
416	0.08492803928
417	0.08485047292
418	0.08479524928
419	0.08474887509
420	0.08468370309
421	0.08459197002
422	0.08450833882
423	0.084454986
424	0.08441250702
425	0.08436177764
426	0.08435179698
427	0.08431117931
428	0.08422291246
429	0.08416250253
430	0.08410276585
431	0.08408972511
432	0.08400224941
433	0.08387474184
434	0.08381879386
435	0.08375445183
436	0.08366060235
437	0.08356086845
438	0.08348906916
439	0.08338386724
440	0.08332628883
441	0.08331292684
442	0.08320138064
443	0.08313151479
444	0.08311943551
445	0.08307035176
446	0.082979554
447	0.08292901595
448	0.08282778446
449	0.08278489742
450	0.08269987308
451	0.08263339294
452	0.08262133296
453	0.0825825654
454	0.08248056464
455	0.08238910083
456	0.08234595156
457	0.08226051295
458	0.08220216793
459	0.08210926661
460	0.08208351756
461	0.08207493944
462	0.08202836759
463	0.08196169396
464	0.08192870812
465	0.08185785789
466	0.08180064755
467	0.08173364552
468	0.08164604617
469	0.08154519902
470	0.08148447853
471	0.08138359036
472	0.08129092371
473	0.08122083098
474	0.0811559742
475	0.08109732143
476	0.08103612919
477	0.08102368789
478	0.08094643555
479	0.08090924002
480	0.08081589667
481	0.08076123815
482	0.08071211349
483	0.08070009702
484	0.08064670354
485	0.08058317823
486	0.0805266869
487	0.08043082815
488	0.08037682465
